DepotID,ClientID,VehicleID,Distancia (km),Duracion (horas)
1,1,1,23.341900000000003,0.45966666666666667
1,1,2,23.341900000000003,0.45966666666666667
1,1,3,23.341900000000003,0.45966666666666667
1,1,4,23.341900000000003,0.45966666666666667
1,1,5,23.341900000000003,0.45966666666666667
1,1,6,23.341900000000003,0.45966666666666667
1,1,7,23.341900000000003,0.45966666666666667
1,1,8,23.341900000000003,0.45966666666666667
1,1,9,23.341900000000003,0.45966666666666667
1,1,10,17.04347913710006,0.42608697842750154
1,1,11,17.04347913710006,0.42608697842750154
1,1,12,17.04347913710006,0.42608697842750154
1,2,1,8.9062,0.22369444444444442
1,2,2,8.9062,0.22369444444444442
1,2,3,8.9062,0.22369444444444442
1,2,4,8.9062,0.22369444444444442
1,2,5,8.9062,0.22369444444444442
1,2,6,8.9062,0.22369444444444442
1,2,7,8.9062,0.22369444444444442
1,2,8,8.9062,0.22369444444444442
1,2,9,8.9062,0.22369444444444442
1,2,10,6.965999405161629,0.17414998512904073
1,2,11,6.965999405161629,0.17414998512904073
1,2,12,6.965999405161629,0.17414998512904073
1,3,1,7.9714,0.20166666666666666
1,3,2,7.9714,0.20166666666666666
1,3,3,7.9714,0.20166666666666666
1,3,4,7.9714,0.20166666666666666
1,3,5,7.9714,0.20166666666666666
1,3,6,7.9714,0.20166666666666666
1,3,7,7.9714,0.20166666666666666
1,3,8,7.9714,0.20166666666666666
1,3,9,7.9714,0.20166666666666666
1,3,10,5.357280290497125,0.13393200726242813
1,3,11,5.357280290497125,0.13393200726242813
1,3,12,5.357280290497125,0.13393200726242813
1,4,1,22.8484,0.4494166666666667
1,4,2,22.8484,0.4494166666666667
1,4,3,22.8484,0.4494166666666667
1,4,4,22.8484,0.4494166666666667
1,4,5,22.8484,0.4494166666666667
1,4,6,22.8484,0.4494166666666667
1,4,7,22.8484,0.4494166666666667
1,4,8,22.8484,0.4494166666666667
1,4,9,22.8484,0.4494166666666667
1,4,10,16.241139908917564,0.4060284977229391
1,4,11,16.241139908917564,0.4060284977229391
1,4,12,16.241139908917564,0.4060284977229391
1,5,1,18.24,0.40202777777777776
1,5,2,18.24,0.40202777777777776
1,5,3,18.24,0.40202777777777776
1,5,4,18.24,0.40202777777777776
1,5,5,18.24,0.40202777777777776
1,5,6,18.24,0.40202777777777776
1,5,7,18.24,0.40202777777777776
1,5,8,18.24,0.40202777777777776
1,5,9,18.24,0.40202777777777776
1,5,10,14.6090915859651,0.3652272896491275
1,5,11,14.6090915859651,0.3652272896491275
1,5,12,14.6090915859651,0.3652272896491275
1,6,1,14.2188,0.3135
1,6,2,14.2188,0.3135
1,6,3,14.2188,0.3135
1,6,4,14.2188,0.3135
1,6,5,14.2188,0.3135
1,6,6,14.2188,0.3135
1,6,7,14.2188,0.3135
1,6,8,14.2188,0.3135
1,6,9,14.2188,0.3135
1,6,10,10.731543702119106,0.26828859255297766
1,6,11,10.731543702119106,0.26828859255297766
1,6,12,10.731543702119106,0.26828859255297766
1,7,1,13.0667,0.3302222222222222
1,7,2,13.0667,0.3302222222222222
1,7,3,13.0667,0.3302222222222222
1,7,4,13.0667,0.3302222222222222
1,7,5,13.0667,0.3302222222222222
1,7,6,13.0667,0.3302222222222222
1,7,7,13.0667,0.3302222222222222
1,7,8,13.0667,0.3302222222222222
1,7,9,13.0667,0.3302222222222222
1,7,10,8.79010420105895,0.21975260502647376
1,7,11,8.79010420105895,0.21975260502647376
1,7,12,8.79010420105895,0.21975260502647376
1,8,1,19.5857,0.4411666666666667
1,8,2,19.5857,0.4411666666666667
1,8,3,19.5857,0.4411666666666667
1,8,4,19.5857,0.4411666666666667
1,8,5,19.5857,0.4411666666666667
1,8,6,19.5857,0.4411666666666667
1,8,7,19.5857,0.4411666666666667
