DepotID,ClientID,VehicleID,Distancia (km),Duracion (horas)
1,1,1,22.4148,0.4722222222222222
1,1,2,22.4148,0.4722222222222222
1,1,3,22.4148,0.4722222222222222
1,1,4,999,999
1,1,5,999,999
1,1,6,999,999
1,2,1,25.896099999999997,0.5331388888888888
1,2,2,25.896099999999997,0.5331388888888888
1,2,3,25.896099999999997,0.5331388888888888
1,2,4,999,999
1,2,5,999,999
1,2,6,999,999
1,3,1,4.2255,0.09811111111111111
1,3,2,4.2255,0.09811111111111111
1,3,3,4.2255,0.09811111111111111
1,3,4,999,999
1,3,5,999,999
1,3,6,999,999
1,4,1,22.3388,0.4795833333333333
1,4,2,22.3388,0.4795833333333333
1,4,3,22.3388,0.4795833333333333
1,4,4,999,999
1,4,5,999,999
1,4,6,999,999
1,5,1,12.0647,0.23755555555555558
1,5,2,12.0647,0.23755555555555558
1,5,3,12.0647,0.23755555555555558
1,5,4,999,999
1,5,5,999,999
1,5,6,999,999
1,6,1,17.9595,0.37222222222222223
1,6,2,17.9595,0.37222222222222223
1,6,3,17.9595,0.37222222222222223
1,6,4,999,999
1,6,5,999,999
1,6,6,999,999
1,7,1,19.940900000000003,0.4305555555555556
1,7,2,19.940900000000003,0.4305555555555556
1,7,3,19.940900000000003,0.4305555555555556
1,7,4,999,999
1,7,5,999,999
1,7,6,999,999
1,8,1,7.626600000000001,0.2016111111111111
1,8,2,7.626600000000001,0.2016111111111111
1,8,3,7.626600000000001,0.2016111111111111
1,8,4,999,999
1,8,5,999,999
1,8,6,999,999
1,9,1,18.5532,0.3769722222222222
1,9,2,18.5532,0.3769722222222222
1,9,3,18.5532,0.3769722222222222
1,9,4,999,999
1,9,5,999,999
1,9,6,999,999
2,1,1,20.179299999999998,0.3814166666666666
2,1,2,20.179299999999998,0.3814166666666666
2,1,3,20.179299999999998,0.3814166666666666
2,1,4,999,999
2,1,5,999,999
2,1,6,999,999
2,2,1,15.0951,0.3006388888888889
2,2,2,15.0951,0.3006388888888889
2,2,3,15.0951,0.3006388888888889
2,2,4,999,999
2,2,5,999,999
2,2,6,999,999
2,3,1,32.6852,0.6603333333333333
2,3,2,32.6852,0.6603333333333333
2,3,3,32.6852,0.6603333333333333
2,3,4,999,999
2,3,5,999,999
2,3,6,999,999
2,4,1,21.8424,0.43519444444444444
2,4,2,21.8424,0.43519444444444444
