DepotID,ClientID,VehicleID,Distancia (km),Duracion (horas)
1,1,1,22.4148,0.4722222222222222
1,1,2,22.4148,0.4722222222222222
1,1,3,22.4148,0.4722222222222222
1,1,4,18.322552943403853,0.45806382358509634
1,1,5,18.322552943403853,0.45806382358509634
1,1,6,18.322552943403853,0.45806382358509634
1,2,1,9.5206,0.21155555555555555
1,2,2,9.5206,0.21155555555555555
1,2,3,9.5206,0.21155555555555555
1,2,4,5.507643743880649,0.13769109359701623
1,2,5,5.507643743880649,0.13769109359701623
1,2,6,5.507643743880649,0.13769109359701623
1,3,1,12.0647,0.23755555555555558
1,3,2,12.0647,0.23755555555555558
1,3,3,12.0647,0.23755555555555558
1,3,4,4.076725986882143,0.10191814967205357
1,3,5,4.076725986882143,0.10191814967205357
1,3,6,4.076725986882143,0.10191814967205357
1,4,1,7.6223,0.21155555555555555
1,4,2,7.6223,0.21155555555555555
1,4,3,7.6223,0.21155555555555555
1,4,4,4.4684084310437,0.11171021077609249
1,4,5,4.4684084310437,0.11171021077609249
1,4,6,4.4684084310437,0.11171021077609249
1,5,1,22.3388,0.4795833333333333
1,5,2,22.3388,0.4795833333333333
1,5,3,22.3388,0.4795833333333333
1,5,4,17.678784557213092,0.4419696139303273
1,5,5,17.678784557213092,0.4419696139303273
1,5,6,17.678784557213092,0.4419696139303273
1,6,1,18.618,0.4161111111111111
1,6,2,18.618,0.4161111111111111
1,6,3,18.618,0.4161111111111111
1,6,4,14.26610760159619,0.35665269003990474
1,6,5,14.26610760159619,0.35665269003990474
1,6,6,14.26610760159619,0.35665269003990474
1,7,1,4.2255,0.09811111111111111
1,7,2,4.2255,0.09811111111111111
1,7,3,4.2255,0.09811111111111111
1,7,4,3.01609698582137,0.07540242464553425
1,7,5,3.01609698582137,0.07540242464553425
1,7,6,3.01609698582137,0.07540242464553425
1,8,1,10.8163,0.2575277777777778
1,8,2,10.8163,0.2575277777777778
1,8,3,10.8163,0.2575277777777778
1,8,4,7.481657278387168,0.1870414319596792
1,8,5,7.481657278387168,0.1870414319596792
1,8,6,7.481657278387168,0.1870414319596792
1,9,1,27.1715,0.5688888888888889
1,9,2,27.1715,0.5688888888888889
1,9,3,27.1715,0.5688888888888889
1,9,4,19.56999581620698,0.4892498954051745
1,9,5,19.56999581620698,0.4892498954051745
1,9,6,19.56999581620698,0.4892498954051745
